selection,rater,model,iter
"[""One"", ""Two""]",One,openai,0
"[""One"", ""Three""]",Two,llama,0
"[""Three"", ""One""]",Three,sensechat,0
"[""Four"", ""One""]",Four,qwen,0
"[""One"", ""Two""]",One,qwen,1
"[""Two"", ""Four""]",Two,openai,1
"[""Three"", ""Two""]",Three,sensechat,1
"[""One"", ""Four""]",Four,llama,1
"[""One"", ""Two""]",One,openai,2
"[""Two"", ""Three""]",Two,sensechat,2
"[""One"", ""Three""]",Three,llama,2
"[""Four"", ""One""]",Four,qwen,2
"[""One"", ""Two""]",One,sensechat,3
"[""Two"", ""Three""]",Two,openai,3
"[""Two"", ""Three""]",Three,llama,3
"[""Four"", ""Two""]",Four,qwen,3
"[""One"", ""Four""]",One,llama,4
"[""Two"", ""Four""]",Two,qwen,4
"[""Three"", ""Two""]",Three,sensechat,4
"[""Four"", ""One""]",Four,openai,4
"[""One"", ""Two""]",One,llama,5
"[""Two"", ""One""]",Two,openai,5
"[""Three"", ""Two""]",Three,sensechat,5
"[""Four"", ""Two""]",Four,qwen,5
"[""One"", ""Two""]",One,llama,6
"[""Two"", ""One""]",Two,openai,6
"[""Three"", ""Four""]",Three,qwen,6
"[""Two"", ""Three""]",Four,sensechat,6
"[""One"", ""Two""]",One,openai,7
"[""Two"", ""Three""]",Two,qwen,7
"[""Three"", ""Two""]",Three,sensechat,7
"[""One"", ""Four""]",Four,llama,7
"[""One"", ""Three""]",One,sensechat,8
"[""One"", ""Four""]",Two,llama,8
"[""Three"", ""Four""]",Three,qwen,8
"[""Two"", ""Four""]",Four,openai,8
"[""One"", ""Three""]",One,sensechat,9
"[""Two"", ""Four""]",Two,qwen,9
"[""One"", ""Four""]",Three,llama,9
"[""Four"", ""Three""]",Four,openai,9
"[""One"", ""Two""]",One,qwen,10
"[""Two"", ""Four""]",Two,openai,10
"[""Three"", ""Two""]",Three,sensechat,10
"[""One"", ""Two""]",Four,llama,10
"[""One"", ""Three""]",One,sensechat,11
"[""Two"", ""Three""]",Two,qwen,11
"[""Three"", ""Four""]",Three,openai,11
"[""Three"", ""Four""]",Four,llama,11
"[""One"", ""Three""]",One,llama,12
"[""Two"", ""Three""]",Two,qwen,12
"[""Three"", ""One""]",Three,openai,12
"[""Four"", ""Three""]",Four,sensechat,12
"[""One"", ""Three""]",One,sensechat,13
"[""Two"", ""Three""]",Two,qwen,13
"[""Three"", ""Four""]",Three,openai,13
"[""Three"", ""Four""]",Four,llama,13
"[""One"", ""Two""]",One,qwen,14
"[""Two"", ""Three""]",Two,openai,14
"[""Three"", ""Two""]",Three,sensechat,14
"[""One"", ""Two""]",Four,llama,14
"[""One"", ""Two""]",One,openai,15
"[""Two"", ""Three""]",Two,qwen,15
"[""Three"", ""Two""]",Three,sensechat,15
"[""One"", ""Four""]",Four,llama,15
"[""One"", ""Two""]",One,openai,16
"[""Two"", ""Four""]",Two,qwen,16
"[""One"", ""Three""]",Three,llama,16
"[""Two"", ""Three""]",Four,sensechat,16
"[""One"", ""Three""]",One,qwen,17
"[""Two"", ""Three""]",Two,sensechat,17
"[""Three"", ""Four""]",Three,openai,17
"[""Three"", ""Four""]",Four,llama,17
"[""One"", ""Three""]",One,sensechat,18
"[""Two"", ""Three""]",Two,qwen,18
"[""Three"", ""Four""]",Three,openai,18
"[""Three"", ""Four""]",Four,llama,18
"[""One"", ""Two""]",One,sensechat,19
"[""Two"", ""Four""]",Two,openai,19
"[""Three"", ""Two""]",Three,qwen,19
"[""One"", ""Four""]",Four,llama,19
"[""One"", ""Two""]",One,openai,20
"[""Two"", ""Three""]",Two,sensechat,20
"[""Three"", ""One""]",Three,qwen,20
"[""One"", ""Four""]",Four,llama,20
"[""One"", ""Three""]",One,sensechat,21
"[""Two"", ""Three""]",Two,llama,21
"[""Three"", ""Two""]",Three,openai,21
"[""Four"", ""Three""]",Four,qwen,21
"[""One"", ""Two""]",One,sensechat,22
"[""Two"", ""Four""]",Two,qwen,22
"[""One"", ""Four""]",Three,llama,22
"[""Four"", ""Three""]",Four,openai,22
"[""One"", ""Two""]",One,openai,23
"[""One"", ""Three""]",Two,llama,23
"[""Three"", ""Four""]",Three,qwen,23
"[""Two"", ""Three""]",Four,sensechat,23
"[""One"", ""Two""]",One,sensechat,24
"[""Two"", ""Four""]",Two,openai,24
"[""Three"", ""Two""]",Three,qwen,24
"[""One"", ""Four""]",Four,llama,24
"[""One"", ""Two""]",One,openai,25
"[""Two"", ""One""]",Two,qwen,25
"[""One"", ""Three""]",Three,llama,25
"[""Two"", ""Three""]",Four,sensechat,25
"[""One"", ""Two""]",One,sensechat,26
"[""Two"", ""Three""]",Two,qwen,26
"[""Three"", ""Four""]",Three,openai,26
"[""Three"", ""Four""]",Four,llama,26
"[""One"", ""Two""]",One,openai,27
"[""Two"", ""Four""]",Two,qwen,27
"[""One"", ""Three""]",Three,llama,27
"[""Two"", ""Three""]",Four,sensechat,27
"[""One"", ""Three""]",One,qwen,28
"[""Two"", ""Three""]",Two,sensechat,28
"[""Three"", ""Four""]",Three,openai,28
"[""Three"", ""Four""]",Four,llama,28
"[""One"", ""Four""]",One,qwen,29
"[""Two"", ""Three""]",Two,sensechat,29
"[""Three"", ""Four""]",Three,llama,29
"[""Three"", ""Four""]",Four,openai,29
